vara,datum,antal
Mjölk 3L,2025-04-01,43
Mjölk 3L,2025-04-02,39
Mjölk 3L,2025-04-03,41
Mjölk 3L,2025-04-04,38
Mjölk 3L,2025-04-05,55
Mjölk 3L,2025-04-06,62
Mjölk 3L,2025-04-07,47
Smör 500g,2025-04-01,24
Smör 500g,2025-04-02,27
Smör 500g,2025-04-03,22
Smör 500g,2025-04-04,25
Smör 500g,2025-04-05,38
Smör 500g,2025-04-06,41
Smör 500g,2025-04-07,30
Ost Präst 1kg,2025-04-01,12
Ost Präst 1kg,2025-04-02,14
Ost Präst 1kg,2025-04-03,11
Ost Präst 1kg,2025-04-04,13
Ost Präst 1kg,2025-04-05,19
Ost Präst 1kg,2025-04-06,22
Ost Präst 1kg,2025-04-07,16
